Label,Volume,Energy,BulkMod,Lattice
C01,23.325209700903052,-4410.076201173824,281.21522054370496,2.4424427890381724
C02,23.35454589689762,-4410.07708125195,281.6671610237736,2.440858930916973
C03,23.38424228528545,-4410.077604183316,282.0580522132707,2.4393008991641363
C04,23.414143807705983,-4410.077773738558,282.3920251274344,2.437760466765837
C05,23.444495859847862,-4410.077599479822,282.706689901157,2.436250276050558
C06,23.47494520186791,-4410.077084336041,282.99015254979105,2.434751828240028
C07,23.5059739,-4410.076228511973,205.2623308137185,2.4332895227785047
C08,23.53712971484165,-4410.075046789068,283.1860805118969,2.431841213390822
C09,23.56855809069397,-4410.073543251077,283.604985472582,2.4304128846036863
C10,23.600260641797025,-4410.0717209845125,283.8336742839011,2.4290049733274026
